Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Hotel Mogul Palace,6.9,Standard Double Room,$132,,[],"20, Dontad Cross Lane, Off Yusuf Mehar Ali Road, Mumbai, Maharashtra 400009, 400009 Mumbai, India"
Radisson Mumbai Goregaon,7.9,Superior Double Room,$706,240 feet²,"['Swimming pool', 'BBQ facilities', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Non-smoking rooms', 'Safe']","Junction of S.V. Road & Veer Savarkar Road Flyover, Goregaon West, 400062 Mumbai, India"
Hotel Airport International Mumbai,6.9,Superior Double or Twin Room,$417,226 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Airport shuttle', 'Family rooms', 'Room service', 'Non-smoking rooms']","Near Domestic Airport, Vile Parle ( E ), 400099 Mumbai, India"
FabExpress Adore Inn,7.1,Deluxe Room,$132,180 feet²,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Parking on site']","90 Feet Road, Opposite Peninsula Grand, Sakinaka, Andheri (E) Opposite Peninsula Grand, 400072 Mumbai, India"
"Villa No: 214, Dr.Wade's Villa.",9.5,Villa with Private Pool,$306,1800 feet²,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Bathtub']","Villa No: 214, Near Royal Palms Residency, Royal Palms Estate Aarey Colony, Goregaon East, Mumbai 400065, 400065 Mumbai, India"
"The Shalimar Hotel, Kemps Corner",7.1,Lifestyle Suite,$684,365 feet²,"['Free parking', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Fitness center', 'Minibar', 'Flat-screen TV']","August Kranti Marg, Kemps Corner, Grant Road, Kemps Corner, 400036 Mumbai, India"
Meluha - The Fern,8.2,King Suite,"$1,079",679 feet²,[],"Central Avenue, Hiranandani Gardens, Powai, Powai, 400076 Mumbai, India"
"The Shalimar Hotel, Kemps Corner",7.1,Lifestyle Suite,$684,365 feet²,"['Free parking', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Fitness center', 'Minibar', 'Flat-screen TV']","August Kranti Marg, Kemps Corner, Grant Road, Kemps Corner, 400036 Mumbai, India"
Meluha - The Fern,8.2,King Suite,"$1,079",679 feet²,[],"Central Avenue, Hiranandani Gardens, Powai, Powai, 400076 Mumbai, India"
Lalco Residency,7.6,Two-Bedroom Apartment,$193,1100 feet²,[],"Kalpataru Estate - 1A, Jogeshwari Vikhroli Link Road, Andheri (E), 400093 Mumbai, India"
Hotel Suba Palace,8.3,Deluxe Double or Twin Room 10% off on Food and Soft Beverage and Laundry per stay.,$458,225 feet²,[],"Near Gateway of India, Apollo Bunder, , Colaba, 400039 Mumbai, India"
Hotel Supreme - Cuffe Parade,7.1,Deluxe Twin Room,$214,170 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Bathtub', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","No 4, Panday Road, opposite Hotel President, Colaba, Cuffe Parade, 400005 Mumbai, India"
Treebo Trend Elegant CST,6.0,Standard Double Room,$79,160 feet²,"['Free WiFi', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms', 'Elevator']","80/82, Zubeda Castle, Pydhonie, Mandvi, Mumbai, 400003 Mumbai, India"
"Ivy Palms Villa with Pool - 2 Bhk Goregaon, Mumbai",5.5,Two-Bedroom Villa,$147,200 feet²,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen']","Ivy Palms Villa with Pool, Villa no 241, Survey no 169, Aarey Milk Colony, Goregaon East, Mumbai Suburban, 400065 Mumbai, India"
Ivy Love Shack with pool 3 Bhk with awesome View of Mumbai,,Three-Bedroom Villa,$184,1200 feet²,"['Whole house', 'Size', 'Kitchen', 'View', 'Pet friendly', 'Terrace', 'Balcony', 'Free parking', 'Air conditioning', 'Private Bathroom']","Royal Palms Villa Road, 400065 Mumbai, India"
Villa 408-Dr Wade in Royal Palms Mumbai,9.5,Villa,$282,1800 feet²,"['Whole house', 'Size', 'Kitchen', 'City view', 'Pet friendly', 'Swimming pool', 'Balcony', 'Free parking', 'Air conditioning', 'Private Bathroom']","Villa 408, Dr.Wade, Near Royal Palms Residency hotel,Royal Palms Estate, 400065 Mumbai, India"
Hotel A. K. International - Fort,6.0,Deluxe Double Room,$168,161 feet²,"['Parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Adults only', 'Bathtub or shower', 'Flat-screen TV', 'Room service', 'Non-smoking rooms', 'Cable channels']","27/29, Adi Marzban Path, Opp Shaheed Bhagat Singh Road, Near Cafe Universal, Ballard Estate, 400038 Mumbai, India"
OSI Service Apartments Andheri West,6.3,Two-Bedroom Apartment,$250,950 feet²,"['Parking', 'Air conditioning', 'Private Bathroom', 'Kitchen', 'Free WiFi', 'Shower', 'Washing machine', 'Flat-screen TV', 'Family rooms', 'Apartments']","1st Cross Lane, Swami Samarth Nagar, Lokhandwala Complex Andheri West, 400053 Mumbai, India"
